Frame,Vehicles_in_Frame,Total_Vehicles,Left_Count,Center_Count,Right_Count,Density,GreenTime
1,1,1,0,1,0,LOW,20
2,1,1,0,1,0,LOW,20
3,1,1,0,1,0,LOW,20
4,1,1,0,1,0,LOW,20
5,1,1,0,1,0,LOW,20
6,1,1,0,1,0,LOW,20
7,1,1,0,1,0,LOW,20
8,1,1,0,1,0,LOW,20
9,1,1,0,1,0,LOW,20
10,2,2,0,1,1,LOW,20
11,1,2,0,1,0,LOW,20
12,2,2,0,1,1,LOW,20
13,3,3,0,2,1,LOW,20
14,3,3,0,2,1,LOW,20
15,3,3,0,2,1,LOW,20
16,3,3,0,2,1,LOW,20
17,3,3,0,2,1,LOW,20
18,3,3,0,2,1,LOW,20
19,3,3,0,2,1,LOW,20
20,3,3,0,2,1,LOW,20
21,3,3,0,2,1,LOW,20
22,3,3,0,2,1,LOW,20
23,3,3,1,1,1,LOW,20
24,3,3,0,2,1,LOW,20
25,3,3,0,2,1,LOW,20
26,3,3,0,2,1,LOW,20
27,3,3,1,1,1,LOW,20
28,3,3,1,1,1,LOW,20
29,3,3,1,1,1,LOW,20
30,3,3,1,1,1,LOW,20
31,3,3,1,1,1,LOW,20
32,3,3,1,1,1,LOW,20
33,3,3,1,1,1,LOW,20
34,3,3,1,1,1,LOW,20
35,3,3,1,1,1,LOW,20
36,3,3,1,1,1,LOW,20
37,3,3,1,1,1,LOW,20
38,3,3,1,1,1,LOW,20
39,3,3,1,1,1,LOW,20
40,3,3,1,1,1,LOW,20
41,3,3,1,1,1,LOW,20
42,3,3,1,1,1,LOW,20
43,3,3,1,1,1,LOW,20
44,3,3,1,1,1,LOW,20
45,3,3,1,1,1,LOW,20
46,3,3,1,1,1,LOW,20
47,3,3,1,1,1,LOW,20
48,4,4,1,2,1,LOW,20
49,4,4,1,2,1,LOW,20
50,4,4,1,2,1,LOW,20
51,4,4,1,2,1,LOW,20
52,4,4,1,2,1,LOW,20
53,4,4,1,2,1,LOW,20
54,4,4,1,2,1,LOW,20
55,4,4,1,2,1,LOW,20
56,4,4,1,2,1,LOW,20
57,4,4,1,2,1,LOW,20
58,4,4,1,2,1,LOW,20
59,4,4,1,2,1,LOW,20
60,4,4,1,2,1,LOW,20
61,4,4,1,2,1,LOW,20
62,4,4,1,2,1,LOW,20
63,4,4,1,3,0,LOW,20
64,4,4,1,3,0,LOW,20
65,4,4,1,3,0,LOW,20
66,4,4,1,3,0,LOW,20
67,4,4,1,3,0,LOW,20
68,4,4,1,3,0,LOW,20
69,4,4,1,3,0,LOW,20
70,4,4,1,3,0,LOW,20
71,4,4,1,3,0,LOW,20
72,4,4,1,3,0,LOW,20
73,4,4,1,3,0,LOW,20
74,4,4,1,3,0,LOW,20
75,4,4,1,3,0,LOW,20
76,4,4,1,3,0,LOW,20
77,4,4,2,2,0,LOW,20
78,4,4,2,2,0,LOW,20
79,4,4,2,2,0,LOW,20
80,3,4,1,2,0,LOW,20
81,3,4,1,2,0,LOW,20
82,3,4,1,2,0,LOW,20
83,3,4,1,2,0,LOW,20
84,3,4,1,2,0,LOW,20
85,4,5,1,2,1,LOW,20
86,4,5,1,2,1,LOW,20
87,4,5,1,2,1,LOW,20
88,4,5,1,2,1,LOW,20
89,4,5,1,2,1,LOW,20
90,4,5,1,2,1,LOW,20
91,4,5,1,2,1,LOW,20
92,5,6,1,3,1,LOW,20
93,4,6,1,2,1,LOW,20
94,4,6,1,2,1,LOW,20
95,4,6,1,2,1,LOW,20
96,4,6,1,2,1,LOW,20
97,4,6,1,2,1,LOW,20
98,4,6,1,2,1,LOW,20
99,5,7,1,3,1,LOW,20
100,5,7,1,3,1,LOW,20
101,5,7,1,3,1,LOW,20
102,5,7,1,3,1,LOW,20
103,5,7,1,3,1,LOW,20
104,5,7,1,3,1,LOW,20
105,5,7,1,3,1,LOW,20
106,4,7,1,2,1,LOW,20
107,4,7,1,2,1,LOW,20
108,4,7,1,2,1,LOW,20
109,5,7,1,3,1,LOW,20
110,5,7,1,3,1,LOW,20
111,5,7,1,3,1,LOW,20
112,5,7,1,3,1,LOW,20
113,5,7,1,3,1,LOW,20
114,5,7,1,3,1,LOW,20
115,4,7,0,4,0,LOW,20
116,4,7,0,4,0,LOW,20
117,4,7,0,4,0,LOW,20
118,4,7,1,3,0,LOW,20
119,4,7,1,3,0,LOW,20
120,4,7,1,3,0,LOW,20
121,4,7,1,3,0,LOW,20
122,4,7,1,3,0,LOW,20
123,4,7,1,3,0,LOW,20
124,4,7,1,3,0,LOW,20
125,4,7,1,3,0,LOW,20
126,4,7,1,3,0,LOW,20
127,4,7,1,3,0,LOW,20
128,4,7,1,3,0,LOW,20
129,4,7,1,3,0,LOW,20
130,5,8,1,3,1,LOW,20
131,5,8,1,3,1,LOW,20
132,4,8,1,3,0,LOW,20
133,5,9,1,3,1,LOW,20
134,5,9,1,3,1,LOW,20
135,5,9,1,3,1,LOW,20
136,5,9,1,3,1,LOW,20
137,5,9,1,3,1,LOW,20
138,5,9,1,3,1,LOW,20
